id,nom,groupe_musculaire,equipement,url
pin-squat,Pin squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/pin-squat
split-squat-avec-elastique,Split squat avec élastique,Quadriceps,Élastique,https://www.docteur-fitness.com/split-squat-avec-elastique
squat-avec-elastique,Squat avec élastique,Quadriceps,Élastique,https://www.docteur-fitness.com/squat-avec-elastique
overhead-squat-avec-halteres,Overhead squat avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/overhead-squat-avec-halteres
squat-avec-bande-de-resistance,Squat avec bande de résistance,Quadriceps,Élastique,https://www.docteur-fitness.com/squat-avec-bande-de-resistance
montees-sur-banc-laterales-avec-barre,Montées sur banc latérales avec barre,Quadriceps,Barre,https://www.docteur-fitness.com/montees-sur-banc-laterales-avec-barre
croix-de-fer-avec-halteres,Croix de fer avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/croix-de-fer-avec-halteres
hack-squat-inverse,Hack squat inversé,Quadriceps,Machine,https://www.docteur-fitness.com/hack-squat-inverse
leg-extension-iso-lateral-unilateral-hammer-strenght,Leg extension iso latéral unilatéral Hammer strenght,Quadriceps,Machine,https://www.docteur-fitness.com/leg-extension-iso-lateral-unilateral-hammer-strenght
squat-sur-banc,Squat sur banc,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-sur-banc
squat-goblet-avec-kettlebell,Squat goblet avec kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/squat-goblet-avec-kettlebell
jefferson-squat,Jefferson squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/jefferson-squat
zercher-squat,Zercher Squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/zercher-squat
squat-statique-contre-un-mur-exercice-de-la-chaise,Squat statique contre un mur (exercice de la chaise),Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/squat-statique-contre-un-mur-exercice-de-la-chaise
pistol-squat,Pistol squat,Quadriceps,Poids de corps / sans matériel,https://www.docteur-fitness.com/pistol-squat
fentes-avant-avec-kettlebell,Fentes avant avec kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/fentes-avant-avec-kettlebell
souleve-de-terre-sumo-avec-kettlebell,Soulevé de terre sumo avec kettlebell,Quadriceps,Kettlebell,https://www.docteur-fitness.com/souleve-de-terre-sumo-avec-kettlebell
front-squat-avec-halteres,Front squat avec haltères,Quadriceps,Haltères,https://www.docteur-fitness.com/front-squat-avec-halteres
sissy-squat,Sissy squat sans machine,Quadriceps,Machine,https://www.docteur-fitness.com/sissy-squat
presse-a-cuisses-iso-laterale,Presse à cuisses iso-latérale,Quadriceps,Machine,https://www.docteur-fitness.com/presse-a-cuisses-iso-laterale
squat-sumo-avec-haltere,Squat sumo avec haltère,Quadriceps,Haltères,https://www.docteur-fitness.com/squat-sumo-avec-haltere
